"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Azione-IV","Senato","Azione-IV","Piemonte","Piemonte - U01","Torino","Silvia Fregolent"
"Azione-IV","Senato","Azione-IV","Piemonte","Piemonte - U02","Moncalieri","Michael Bouquet"
"Azione-IV","Senato","Azione-IV","Piemonte","Piemonte - U03","Novara","Roberto Faggiano"
"Azione-IV","Senato","Azione-IV","Piemonte","Piemonte - U04","Alessandria","Elena Caffarone"
"Azione-IV","Senato","Azione-IV","Piemonte","Piemonte - U05","Cuneo","Vincenzo Pellegrino"
"Azione-IV","Senato","Azione-IV","Puglia","Puglia - U01","Foggia","Lorenzo Frattarolo"
"Azione-IV","Senato","Azione-IV","Puglia","Puglia - U02","Andria","Stefania D'Addato"
"Azione-IV","Senato","Azione-IV","Puglia","Puglia - U03","Bari","Nunzia Cinone"
"Azione-IV","Senato","Azione-IV","Puglia","Puglia - U04","Taranto","Nicola Bruni"
"Azione-IV","Senato","Azione-IV","Puglia","Puglia - U05","Lecce","Alfredo Pagliaro"
"Azione-IV","Senato","Azione-IV","Sardegna","Sardegna - U01","Cagliari","Claudia Medda"
"Azione-IV","Senato","Azione-IV","Sardegna","Sardegna - U02","Sassari","Valerio Zoccheddu"
"Azione-IV","Senato","Azione-IV","Sicilia","Sicilia - U01","Palermo","Giusi Provino"
"Azione-IV","Senato","Azione-IV","Sicilia","Sicilia - U02","Marsala","Giovanni Bavetta"
"Azione-IV","Senato","Azione-IV","Sicilia","Sicilia - U03","Gela","Michele Termini"
"Azione-IV","Senato","Azione-IV","Sicilia","Sicilia - U04","Catania","Tiziana D'Anna"
"Azione-IV","Senato","Azione-IV","Sicilia","Sicilia - U05","Siracusa","Marianna Buscema"
"Azione-IV","Senato","Azione-IV","Sicilia","Sicilia - U06","Messina","Emiliano Lazzara Papina"
"Azione-IV","Senato","Azione-IV","Toscana","Toscana - U01","Arezzo","Davide Vivaldi"
"Azione-IV","Senato","Azione-IV","Toscana","Toscana - U02","Livorno","Massimo Vitrani"
"Azione-IV","Senato","Azione-IV","Toscana","Toscana - U03","Prato","Barbara Masini"
"Azione-IV","Senato","Azione-IV","Toscana","Toscana - U04","Firenze","Stefania Saccardi"
"Azione-IV","Senato","Azione-IV","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U01","Trento","Alleanza democratica
per l'autonomia"
"Azione-IV","Senato","Azione-IV","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U02","Rovereto","Donatella Consatti"
"Azione-IV","Senato","Azione-IV","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U03","Pergine Valsugana","Alleanza democratica
per l'autonomia"
"Azione-IV","Senato","Azione-IV","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U04","Bolzano/Bozen","Stefania Gande"
"Azione-IV","Senato","Azione-IV","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U05","Merano/Meran","Giovanna Valentini"
"Azione-IV","Senato","Azione-IV","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U06","Bressanone/Brixen","Massimo Papi"
"Azione-IV","Senato","Azione-IV","Umbria","Umbria - U01","Perugia","Donatella Porzi"
"Azione-IV","Senato","Azione-IV","Valle d'Aosta","Valle d'aosta/Vallée d'Aoste -
U01","Aosta","NON INDICATO"
"Azione-IV","Senato","Azione-IV","Veneto","Veneto - U01","Venezia","Gabriele Galiazzo"
"Azione-IV","Senato","Azione-IV","Veneto","Veneto - U02","Treviso","Paola Bergamo"
"Azione-IV","Senato","Azione-IV","Veneto","Veneto - U03","Padova","Stefano Innocente
Marangon"
"Azione-IV","Senato","Azione-IV","Veneto","Veneto - U04","Vicenza","Marilisa Munari"
"Azione-IV","Senato","Azione-IV","Veneto","Veneto - U05","Verona","Danilo Montanari"
